City,Country,Date,Latitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Dabhol,IN,2020-01-06,17.6,297.96,66,0,5.72
Atbasar,KZ,2020-01-06,51.81,265.56,96,97,2.71
Rikitea,PF,2020-01-06,-23.12,297.75,76,52,7.17
Punta Arenas,CL,2020-01-06,-53.16,281.15,61,40,5.7
Daoukro,CI,2020-01-06,7.06,291.8,38,0,0.5
Cherskiy,RU,2020-01-06,68.75,249.92,63,1,1.89
Pangnirtung,CA,2020-01-06,66.15,229.71,90,100,0.78
Mataura,NZ,2020-01-06,-46.19,283.15,81,100,10.28
Shieli,KZ,2020-01-06,44.18,272.02,86,100,3.27
Namibe,AO,2020-01-06,-15.19,295.83,87,68,4.55
Norman Wells,CA,2020-01-06,65.28,235.15,73,20,1.5
Tuktoyaktuk,CA,2020-01-06,69.44,242.15,74,20,2.1
Shimoda,JP,2020-01-06,34.7,288.15,65,20,3.6
Hay River,CA,2020-01-06,60.82,248.15,75,75,5.7
Baykit,RU,2020-01-06,61.68,260.12,97,98,1.96
Busselton,AU,2020-01-06,-33.64,305.37,12,23,5.11
Souillac,FR,2020-01-06,45.6,275.15,93,0,1.5
Carnarvon,ZA,2020-01-06,-30.97,288.14,82,69,3.3
Jamestown,AU,2020-01-06,-33.21,296.15,55,82,0.14
Fairbanks,US,2020-01-06,64.84,246.48,67,90,0.96
Georgetown,GY,2020-01-06,6.8,295.15,88,0,2.1
Yellowknife,CA,2020-01-06,62.45,245.37,75,5,2.6
Ponazyrevo,RU,2020-01-06,58.36,265.77,96,84,2.28
Outjo,NA,2020-01-06,-20.11,291.39,73,100,3.82
Albany,US,2020-01-06,42.65,271.15,73,20,4.1
New Norfolk,AU,2020-01-06,-42.78,298.71,55,20,7.2
Yulara,AU,2020-01-06,-25.24,296.15,64,40,7.2
Kapaa,US,2020-01-06,22.08,300.15,74,75,8.7
Hilo,US,2020-01-06,19.71,295.15,83,90,2.1
Seoul,KR,2020-01-06,37.57,278.15,64,90,1.5
Pevek,RU,2020-01-06,69.7,251.32,80,0,1.72
Bluff,AU,2020-01-06,-23.58,305.81,38,74,6.12
Lakselv,NO,2020-01-06,70.05,266.15,78,100,5.7
Alice Springs,AU,2020-01-06,-23.7,295.15,64,75,3.1
Katsuura,JP,2020-01-06,33.93,282.15,54,40,2.6
Lavrentiya,RU,2020-01-06,65.58,249.14,81,0,1.87
Poum,MK,2020-01-06,41.28,268.18,63,0,3.31
Arraial do Cabo,BR,2020-01-06,-22.97,297.64,86,100,1.12
Tiksi,RU,2020-01-06,71.64,248.39,86,3,6.08
Dukat,AL,2020-01-06,40.25,279.82,35,0,0.89
Predivinsk,RU,2020-01-06,57.07,267.7,94,100,2.86
Ust-Tsilma,RU,2020-01-06,65.44,261.95,92,100,3.93
Havre-Saint-Pierre,CA,2020-01-06,50.23,260.15,78,1,3.1
Homer,US,2020-01-06,59.64,266.15,85,90,2.47
Vaini,IN,2020-01-06,15.34,293.15,88,75,2.6
East London,ZA,2020-01-06,-33.02,295.27,77,44,2.41
Hobart,AU,2020-01-06,-42.88,298.71,55,20,7.2
Non Sung,TH,2020-01-06,15.18,300.93,61,0,4.6
Ushuaia,AR,2020-01-06,-54.81,281.15,75,75,11.8
Thompson,CA,2020-01-06,55.74,258.15,92,90,3.6
Tallahassee,US,2020-01-06,30.44,281.48,86,90,1.33
Mar del Plata,AR,2020-01-06,-46.43,286.72,57,64,10.38
Cayenne,GF,2020-01-06,4.94,298.15,88,42,1.5
Hithadhoo,MV,2020-01-06,-0.6,302.22,73,100,5.69
Sept-Iles,CA,2020-01-06,50.2,262.15,61,5,4.6
Lebu,ET,2020-01-06,8.96,285.15,76,20,3.6
Sorong,ID,2020-01-06,-0.86,305.43,56,72,2.35
Cape Town,ZA,2020-01-06,-33.93,290.37,72,40,3.6
Khatanga,RU,2020-01-06,71.98,253.79,98,99,2.54
Kutum,SD,2020-01-06,14.2,283.28,29,0,1.71
Weinan,CN,2020-01-06,34.5,279.82,93,90,2.0
Kalvarija,LT,2020-01-06,54.41,270.37,94,89,5.51
Petropavlovsk-Kamchatskiy,RU,2020-01-06,53.05,273.15,79,75,6.0
Avarua,CK,2020-01-06,-21.21,301.15,88,100,3.1
Waingapu,ID,2020-01-06,-9.65,302.11,77,37,10.0
Jizan,SA,2020-01-06,16.89,297.15,64,20,2.1
Alae,PH,2020-01-06,8.42,300.37,73,78,3.13
Stromness,CA,2020-01-06,42.87,273.71,92,90,4.1
Airai,TL,2020-01-06,-8.93,300.65,53,100,2.22
Itarema,BR,2020-01-06,-2.92,297.68,87,43,1.93
Dikson,RU,2020-01-06,73.51,264.92,94,100,7.2
Flinders,AU,2020-01-06,-34.58,295.93,73,100,5.7
Molokovo,RU,2020-01-06,58.16,269.21,84,6,1.83
Bandarbeyla,SO,2020-01-06,9.49,299.26,77,94,3.04
Guadalupe y Calvo,MX,2020-01-06,26.09,283.02,38,99,2.19
Bilibino,RU,2020-01-06,68.06,248.25,68,0,0.88
Puerto Ayora,EC,2020-01-06,-0.74,297.59,82,0,1.79
Port Hardy,CA,2020-01-06,50.7,275.15,93,75,2.6
Bredasdorp,ZA,2020-01-06,-34.53,291.15,72,100,3.1
Esperance,AU,2020-01-06,-33.86,306.15,16,0,7.7
Brownsville,US,2020-01-06,25.91,289.82,67,40,2.6
Saskylakh,RU,2020-01-06,71.97,246.14,92,100,7.16
Chokurdakh,RU,2020-01-06,70.62,244.05,100,16,0.86
Padang,ID,2020-01-06,-0.92,301.08,55,0,1.22
Barabai,ID,2020-01-06,-2.59,304.3,59,100,1.28
Barrow,AR,2020-01-06,-38.31,289.65,89,100,3.24
Saint George,GR,2020-01-06,39.45,279.15,41,75,5.7
San Policarpo,PH,2020-01-06,12.18,301.08,76,21,6.74
Nishihara,JP,2020-01-06,35.74,287.04,39,20,4.6
Kahului,US,2020-01-06,20.89,298.15,65,20,8.2
Beloha,MG,2020-01-06,-25.17,295.81,85,33,4.83
Butaritari,KI,2020-01-06,3.07,302.6,75,100,7.79
Belaya Gora,RU,2020-01-06,68.54,243.79,85,7,0.23
Bethel,US,2020-01-06,60.79,246.15,68,1,3.1
Port Hedland,AU,2020-01-06,-20.31,309.15,32,40,9.8
Agnibilekrou,CI,2020-01-06,7.13,291.41,43,0,0.91
Hermanus,ZA,2020-01-06,-34.42,290.37,94,100,4.37
Sisimiut,GL,2020-01-06,66.94,252.39,96,100,7.02
Khandyga,RU,2020-01-06,62.65,254.2,96,100,2.05
Carbonia,IT,2020-01-06,39.17,278.15,100,0,2.1
Urucara,BR,2020-01-06,-2.54,299.86,67,63,0.46
Faanui,PF,2020-01-06,-16.48,301.14,72,12,4.93
Inyonga,TZ,2020-01-06,-6.72,290.49,94,100,0.28
Nantucket,US,2020-01-06,41.28,275.15,68,1,2.1
Les Cayes,HT,2020-01-06,18.19,299.99,69,10,3.96
Todos Santos,MX,2020-01-06,23.45,294.26,77,75,1.96
Los Llanos de Aridane,ES,2020-01-06,28.66,291.15,63,40,3.6
Udimskiy,RU,2020-01-06,61.14,261.45,91,0,2.93
Touros,BR,2020-01-06,-5.2,299.15,83,40,2.6
Xacmaz,AZ,2020-01-06,41.46,279.62,86,52,1.97
Dingle,PH,2020-01-06,11.0,299.46,85,97,7.32
Vila,IT,2020-01-06,45.18,277.04,100,0,3.1
Ancud,CL,2020-01-06,-41.87,284.15,81,90,2.1
Baruun-Urt,MN,2020-01-06,46.68,258.96,92,62,3.15
Ukiah,US,2020-01-06,39.15,283.15,87,1,1.5
Vidim,CZ,2020-01-06,50.47,273.71,80,90,3.6
Sao Filipe,CV,2020-01-06,14.9,294.43,67,98,8.9
Iskateley,RU,2020-01-06,67.68,264.6,85,95,6.2
Vostok,RU,2020-01-06,46.45,261.35,87,36,1.37
Simao,CN,2020-01-06,22.76,287.1,97,95,2.03
Marsh Harbour,BS,2020-01-06,26.54,292.76,64,9,7.91
Nara,JP,2020-01-06,34.68,286.48,52,20,1.0
Shenzhen,CN,2020-01-06,22.54,300.37,60,20,8.7
Chingirlau,KZ,2020-01-06,51.09,269.19,96,100,4.15
Castro,CL,2020-01-06,-42.48,284.15,81,90,2.1
Atuona,PF,2020-01-06,-9.8,299.76,78,63,4.79
Adre,TD,2020-01-06,13.47,286.24,26,0,5.44
Moulins,FR,2020-01-06,46.57,274.26,92,0,1.83
Green River,US,2020-01-06,41.53,267.15,85,40,12.3
Nyurba,RU,2020-01-06,63.29,255.54,98,99,1.53
Oistins,BB,2020-01-06,13.07,297.15,94,75,6.7
Riyadh,SA,2020-01-06,24.63,280.15,87,0,1.5
Mahebourg,MU,2020-01-06,-20.41,297.15,94,40,4.6
Longyearbyen,NO,2020-01-06,78.22,255.15,70,20,5.7
Baijiantan,CN,2020-01-06,45.63,261.02,88,0,1.45
Flin Flon,CA,2020-01-06,54.77,250.24,95,44,1.96
Aratos,GR,2020-01-06,41.08,278.15,56,100,8.05
Yar-Sale,RU,2020-01-06,66.83,260.96,89,0,6.53
Qaanaaq,GL,2020-01-06,77.48,241.34,51,74,1.32
Tuatapere,NZ,2020-01-06,-46.13,283.15,81,100,10.28
Upernavik,GL,2020-01-06,72.79,238.46,96,94,6.97
Zabaykalsk,CN,2020-01-06,49.64,260.75,81,100,2.53
Palmer,AU,2020-01-06,-34.85,298.71,38,0,3.17
Togul,RU,2020-01-06,53.47,260.66,86,0,1.24
Severo-Kurilsk,RU,2020-01-06,50.68,270.18,91,99,3.77
Serebryansk,KZ,2020-01-06,49.68,257.62,86,2,0.72
Omboue,GA,2020-01-06,-1.57,297.31,91,99,0.12
Bassila,BJ,2020-01-06,9.0,294.24,38,95,2.13
Port Elizabeth,US,2020-01-06,39.31,276.48,74,1,2.21
Wattegama,LK,2020-01-06,7.35,298.82,69,24,1.27
Pottendorf,AT,2020-01-06,47.91,272.04,79,0,1.0
Puri,ID,2020-01-06,-7.54,302.95,71,33,4.01
Faya,SA,2020-01-06,18.39,287.15,87,20,3.1
Mayumba,GA,2020-01-06,-3.44,300.37,79,12,0.62
Teguldet,RU,2020-01-06,57.31,266.0,94,99,3.77
Torbay,CA,2020-01-06,47.66,273.15,100,90,13.9
Provideniya,RU,2020-01-06,64.42,249.21,72,83,3.62
Saldanha,PT,2020-01-06,41.42,274.47,84,0,0.25
Dharmadam,IN,2020-01-06,11.78,297.15,88,20,1.5
Tasiilaq,GL,2020-01-06,65.61,266.84,90,100,17.37
Ponta do Sol,BR,2020-01-06,-20.63,292.37,96,2,1.0
Ngara,ID,2020-01-06,-8.5,301.36,65,96,3.87
Codo,ES,2020-01-06,41.33,277.15,100,90,3.6
Talnakh,RU,2020-01-06,69.49,266.15,92,40,13.0
Singkang,MY,2020-01-06,2.1,302.15,62,20,3.1
Port Augusta,AU,2020-01-06,-32.49,295.93,69,20,0.45
Ilulissat,GL,2020-01-06,69.22,260.15,65,100,6.7
Tshikapa,CD,2020-01-06,-6.42,293.96,97,100,0.7
Port Alfred,ZA,2020-01-06,-33.59,293.15,93,99,1.4
Cabo San Lucas,MX,2020-01-06,22.89,294.26,77,75,1.38
Biskamzha,RU,2020-01-06,53.45,262.36,86,69,0.21
Otjimbingwe,NA,2020-01-06,-22.35,293.2,29,59,0.21
Turgenevo,RU,2020-01-06,54.84,265.52,94,85,1.32
Bermejo,AR,2020-01-06,-22.73,299.82,77,60,1.26
Acajutiba,BR,2020-01-06,-11.66,296.48,90,100,2.75
Saint-Pierre,FR,2020-01-06,48.95,273.15,94,3,4.1
Isiro,CD,2020-01-06,2.77,291.49,99,100,0.62
Dana Point,US,2020-01-06,33.47,289.15,66,1,2.65
Henties Bay,NA,2020-01-06,-22.12,290.37,89,75,0.89
Fulton,US,2020-01-06,38.85,278.15,69,1,2.1
Mandalgovi,MN,2020-01-06,45.76,259.66,88,78,3.06
Sola,TZ,2020-01-06,-3.17,290.55,91,38,1.58
Oyama,JP,2020-01-06,36.31,290.93,42,40,1.5
Asosa,ET,2020-01-06,10.07,290.68,49,0,3.17
Bambous Virieux,MU,2020-01-06,-20.34,297.15,94,40,4.6
